name,description,unitPrice,imageUrl,unitsInStock,active,sku,category
Apple iPhone 12 Pro,Apple's latest flagship smartphone with 5G connectivity,999.00,https://example.com/iphone12pro.jpg,50,true,IP12PRO,Electronics
Samsung Galaxy S21,The latest Android smartphone from Samsung,799.00,https://example.com/galaxys21.jpg,100,true,GALS21,Electronics
Sony PlayStation 5,The latest gaming console from Sony,499.00,https://example.com/ps5.jpg,75,true,PS5,Electronics
Apple MacBook Pro,Apple's high-end laptop with Retina display,1999.00,https://example.com/macbookpro.jpg,25,true,MBP16,Laptops
Dell XPS 13,One of the best ultrabooks on the market,1199.00,https://example.com/xps13.jpg,10,true,XPS13,Laptops
HP Spectre x360,An excellent 2-in-1 laptop with a 4K display,1499.00,https://example.com/spectrex360.jpg,0,false,SPEC360,Laptops
Bose QuietComfort 35 II,One of the best noise-cancelling headphones available,349.00,https://example.com/qc35.jpg,50,true,QC35,Audio
Sonos One,Smart speaker with support for Amazon Alexa and Google Assistant,199.00,https://example.com/sonosone.jpg,100,true,SONOS1,Audio
Sony WH-1000XM4,Wireless headphones with excellent noise cancelling,349.00,https://example.com/wh1000xm4.jpg,75,true,WH1000XM4,Audio
Canon EOS R5,The latest high-end mirrorless camera from Canon,3899.00,https://example.com/eosr5.jpg,25,true,EOSR5,Cameras
Nikon Z7 II,The latest high-end mirrorless camera from Nikon,2999.00,https://example.com/z7ii.jpg,10,true,Z7II,Cameras
Fujifilm X-T4,One of the best APS-C mirrorless cameras on the market,1699.00,https://example.com/xt4.jpg,0,false,XT4,Cameras
Leica Q2,The latest full-frame compact camera from Leica,5495.00,https://example.com/q2.jpg,50,true,Q2,Cameras
Samsung QLED Q90T,One of the best 4K TVs on the market,1999.00,https://example.com/q90t.jpg,100,true,Q90T,TVs
LG OLED CX,One of the best OLED TVs on the market,2499.00,https://example.com/oledcx.jpg,75,true,OLEDCX,TVs
Sony Bravia X900H,One of the best mid-range 4K TVs on the market,1499.00,https://example.com/x900h.jpg,25,true,X900H,TVs
